Date,Trading_Hrs_Return,Total_Return,Difference,Class_,New_Date
27/04/2020,-0.9497,-2.1936,-1.2439,Southwest_Airlines,2020-04-27
28/04/2020,3.5476,2.1738,-1.3737,Southwest_Airlines,2020-04-28
29/04/2020,5.8298,3.5122,-2.3176,Southwest_Airlines,2020-04-29
30/04/2020,2.8684,-0.2643,-3.1326,Southwest_Airlines,2020-04-30
01/05/2020,-3.6122,-11.7272,-8.1149,Southwest_Airlines,2020-05-01
04/05/2020,3.2906,4.0578,0.7672,Southwest_Airlines,2020-05-04
05/05/2020,-4.8053,-5.2885,-0.4831,Southwest_Airlines,2020-05-05
06/05/2020,-5.3156,-5.7454,-0.4299,Southwest_Airlines,2020-05-06
07/05/2020,2.3055,4.6715,2.366,Southwest_Airlines,2020-05-07
08/05/2020,4.6377,0.5946,-4.0431,Southwest_Airlines,2020-05-08
11/05/2020,-0.2016,-0.8828,-0.6812,Southwest_Airlines,2020-05-11
12/05/2020,-2.5287,-4.5832,-2.0545,Southwest_Airlines,2020-05-12
13/05/2020,-3.0016,-6.6301,-3.6284,Southwest_Airlines,2020-05-13
14/05/2020,7.3399,4.3635,-2.9764,Southwest_Airlines,2020-05-14
15/05/2020,-0.964,6.0804,7.0444,Southwest_Airlines,2020-05-15
18/05/2020,6.0064,9.6423,3.6359,Southwest_Airlines,2020-05-18
19/05/2020,-1.1991,0.2828,1.4819,Southwest_Airlines,2020-05-19
20/05/2020,3.8373,3.1511,-0.6862,Southwest_Airlines,2020-05-20
21/05/2020,2.1872,1.3224,-0.8648,Southwest_Airlines,2020-05-21
22/05/2020,-1.8748,7.0619,8.9367,Southwest_Airlines,2020-05-22
26/05/2020,3.2175,9.743,6.5255,Southwest_Airlines,2020-05-26
27/05/2020,-2.5745,-3.5937,-1.0191,Southwest_Airlines,2020-05-27
28/05/2020,-2.0883,-6.2792,-4.1909,Southwest_Airlines,2020-05-28
29/05/2020,3.3262,2.5224,-0.8038,Southwest_Airlines,2020-05-29
01/06/2020,5.322,7.8024,2.4804,Southwest_Airlines,2020-06-01
02/06/2020,0.0391,0.9974,0.9584,Southwest_Airlines,2020-06-02
03/06/2020,4.6879,7.2118,2.5238,Southwest_Airlines,2020-06-03
04/06/2020,2.4022,11.7677,9.3655,Southwest_Airlines,2020-06-04
05/06/2020,-8.3146,-5.5102,2.8045,Southwest_Airlines,2020-06-05
08/06/2020,2.9548,-5.0824,-8.0373,Southwest_Airlines,2020-06-08
09/06/2020,1.6874,-5.0156,-6.703,Southwest_Airlines,2020-06-09
10/06/2020,4.6297,-8.7264,-13.3561,Southwest_Airlines,2020-06-10
11/06/2020,1.4443,10.1197,8.6755,Southwest_Airlines,2020-06-11
12/06/2020,0.2828,-6.3909,-6.6737,Southwest_Airlines,2020-06-12
15/06/2020,8.548,14.0398,5.4918,Southwest_Airlines,2020-06-15
16/06/2020,-4.1989,-6.2258,-2.0269,Southwest_Airlines,2020-06-16
17/06/2020,1.6129,-1.2164,-2.8293,Southwest_Airlines,2020-06-17
18/06/2020,3.4912,2.5806,-0.9105,Southwest_Airlines,2020-06-18
19/06/2020,-2.5626,-6.9456,-4.383,Southwest_Airlines,2020-06-19
22/06/2020,3.8475,2.2039,-1.6436,Southwest_Airlines,2020-06-22
23/06/2020,2.7335,-2.2427,-4.9761,Southwest_Airlines,2020-06-23
24/06/2020,-2.2712,-8.2647,-5.9935,Southwest_Airlines,2020-06-24
25/06/2020,8.7791,6.2199,-2.5591,Southwest_Airlines,2020-06-25
26/06/2020,-0.824,0.0604,0.8844,Southwest_Airlines,2020-06-26
29/06/2020,8.5151,5.5204,-2.9947,Southwest_Airlines,2020-06-29
30/06/2020,0.6296,0.8862,0.2566,Southwest_Airlines,2020-06-30
01/07/2020,-1.2032,-1.6719,-0.4687,Southwest_Airlines,2020-07-01
02/07/2020,1.0558,-1.8876,-2.9434,Southwest_Airlines,2020-07-02
03/07/2020,3,1.9827,-1.0173,Southwest_Airlines,2020-07-03
06/07/2020,1.843,-3.5426,-5.3857,Southwest_Airlines,2020-07-06
07/07/2020,1.6006,-2.5978,-4.1984,Southwest_Airlines,2020-07-07
08/07/2020,3.9157,-0.4598,-4.3755,Southwest_Airlines,2020-07-08
09/07/2020,0.0816,-4.0345,-4.1161,Southwest_Airlines,2020-07-09
10/07/2020,9.7267,7.2529,-2.4738,Southwest_Airlines,2020-07-10
13/07/2020,0.5344,-4.7277,-5.2621,Southwest_Airlines,2020-07-13
14/07/2020,7.5936,10.0188,2.4253,Southwest_Airlines,2020-07-14
